"Location","Type","Richness","Abundance","Biomass","Mean_size","Trophic_level"
"Depla","Control","9.7 ± 2.1","24.5 ± 11.9","209.6 ± 92.7","20.8 ± 2.4","3.2 ± 0.3"
"Depla","Protected","12.3 ± 1.5","30.5 ± 7.5","180.6 ± 29.8","18.5 ± 0.8","3.2 ± 0"
"Pangatalan","Control","9.9 ± 1.4","24.8 ± 8.4","195.9 ± 73.5","19.7 ± 1.2","3.1 ± 0.3"
"Pangatalan","Protected","13 ± 1.8","36.3 ± 9.7","593.9 ± 138.7","25.2 ± 1.7","3.3 ± 0.2"
"Sandoval","Control","9.9 ± 1.6","23.1 ± 5.9","211.1 ± 66.3","20.8 ± 1.9","3.1 ± 0.2"
"Sandoval","Protected","10.5 ± 2.1","32.4 ± 19.2","237.3 ± 92","20.4 ± 2.3","2.8 ± 0.2"
"Silanga","Control","8.5 ± 2.8","25.4 ± 13.7","181.9 ± 147","18.9 ± 2.3","3.5 ± 0.2"
"Silanga","Protected","10.6 ± 1.1","31.7 ± 8.9","238.6 ± 81.9","19.8 ± 1.1","3.4 ± 0.1"
