"Protection","Richness","Abundance","Biomass","Mean_size","Trophic_level"
"Control","10 ± 2","26.2 ± 10.8","208.7 ± 84.4","20.2 ± 2","3.2 ± 0.3"
"PIMPA","13 ± 1.8","36.3 ± 9.7","593.9 ± 138.7","25.2 ± 1.7","3.3 ± 0.2"
