"Model","estimate","std.error","statistic","df.error","conf.low","conf.high","p.value","p.label","group"
"Species richness",0.822,0.249,3.303,67,0.325,1.319,0.002,"0.82 **","pos"
"Abundance",0.58,0.247,2.345,67,0.086,1.073,0.022,"0.58 *","pos"
"Mean size",1.405,0.24,5.86,67,0.926,1.883,0,"1.40 ***","pos"
"Biomass",1.922,0.191,10.08,67,1.541,2.302,0,"1.92 ***","pos"
"Trophic level",0.517,0.31,1.667,67,-0.102,1.135,0.1,"0.52 ","pos"
