"Model","estimate","std.error","statistic","df.error","conf.low","conf.high","p.value","p.label","group"
"Species richness",0.207,0.294,0.704,19,-0.409,0.823,0.49,"0.21 ","pos"
"Abundance",0.457,0.248,1.842,19,-0.062,0.977,0.081,"0.46 ","pos"
"Mean size",-0.148,0.322,-0.459,19,-0.822,0.526,0.651,"-0.15 ","neg"
"Biomass",0.198,0.265,0.744,19,-0.358,0.753,0.466,"0.20 ","pos"
"Trophic level",-0.66,0.242,-2.729,19,-1.166,-0.154,0.013,"-0.66 *","neg"
